season,gsis_id,pfr_id,team
2023,00-0036927,WernPe00,NO
2023,00-0036933,CollZa00,ARI
2023,00-0036936,MoorRo02,ARI
2023,00-0036937,AdebPa00,NO
2023,00-0036938,WeavRa00,TEN
2023,00-0036939,BakeKa00,NO
2023,00-0036941,CiscAn00,JAX
2023,00-0036944,HornJa00,CAR
2023,00-0036945,FielJu00,CHI
2023,00-0036946,MondKe00,IND
2023,00-0036948,GrahTa00,ATL
2023,00-0036949,OgunAd01,ATL
2023,00-0036950,WillAv02,ATL
2023,00-0037077,HoweSa00,WAS
2023,00-0037078,TurnCo00,WAS
2023,00-0037079,WoolTa00,SEA
2023,00-0037265,ConnSn00,JAX
2023,00-0037270,OgboOt00,LAC
2023,00-0037271,JackDM00,NO
2023,00-0037273,PhilKy01,TEN
2023,00-0037276,ChanTy01,MIN
2023,00-0037280,ButlMa02,LV
2023,00-0037283,RidgJo00,WAS
2023,00-0037285,BeavDa00,NYG
2023,00-0037286,HarrKe01,NE
2023,00-0037291,NailJa00,MIN
2023,00-0037292,OgleAn00,IND
2023,00-0037293,HarpDe00,CIN
2023,00-0037296,JuniGr00,JAX
2023,00-0037298,RobeSa00,NE
2023,00-0037301,JackTh00,MIN
2023,00-0037306,FitzJo00,ATL
2023,00-0037309,BrooCu00,WAS
2023,00-0037312,CampCh02,TEN
2023,00-0037313,BrowMo00,JAX
2023,00-0037317,MuseNi00,MIN
2023,00-0037319,HickFa00,NO
2023,00-0037320,LeonDe00,LAC
2023,00-0037323,ThomRo07,IND
2023,00-0037329,BrowBr06,LV
2023,00-0037330,LukeJe00,ARI
2023,00-0037331,HorvZa00,LAC
2023,00-0037269,JohnEr01,IND
2023,00-0037264,TurnDe02,DEN
2023,00-0037082,RobiDo00,CHI
2023,00-0037263,AllgTy00,ATL
2023,00-0037085,BadiTy00,DEN
2023,00-0037087,EbneTr00,CHI
2023,00-0037093,YounDa02,SEA
2023,00-0037095,HolmCh00,WAS
2023,00-0037096,HickEl00,CHI
2023,00-0037106,JoneJa12,CHI
2023,00-0037109,SanbJa00,CHI
2023,00-0037129,BlacJo00,CHI
2023,00-0037141,BlouJo00,ARI
2023,00-0037155,AdamTo03,NYJ
2023,00-0037168,RogeAr00,WAS
2023,00-0037175,BrowAn06,BAL
2023,00-0037190,GardSa00,NYJ
2023,00-0037205,SchoBr00,NE
2023,00-0037222,ThomAJ00,CHI
2023,00-0037235,WalkTr03,JAX
2023,00-0037238,LondDr00,ATL
2023,00-0037239,OlavCh00,NO
2023,00-0037244,LloyDe00,JAX
2023,00-0037245,CineLe00,MIN
2023,00-0037249,BoniNi00,DEN
2023,00-0037252,DulcGr00,DEN
2023,00-0037253,JoneMa06,NE
2023,00-0037259,McFaMi01,NYG
2023,00-0037260,DaviDJ00,NYG
2023,00-0038546,MurpMy00,CIN
2023,00-0038549,TurnDJ01,CIN
2023,00-0038551,MillKe01,NO
2024,00-0031795,WillDe04,CAR
2024,00-0031411,LawrDe00,DAL
2024,00-0031484,ManhCh00,NYG
2024,00-0031503,WinsJa00,CLE
2024,00-0031550,ThomSh01,CAR
2024,00-0031551,GoldEd00,ATL
2024,00-0031554,KendEr00,DAL
2024,00-0031583,JarrGr00,ATL
2024,00-0031584,AmosAd00,SF
2024,00-0031608,DiggQu00,TEN
2024,00-0031610,WallDa01,NYG
2024,00-0031687,MostRa00,MIA
2024,00-0031763,CartDe02,CHI
2024,00-0031868,ByrdDa00,BUF
2024,00-0027885,JoseLi99,DAL
2024,00-0031933,WillLe02,SEA
2024,00-0031957,NuneRa00,NYG
2024,00-0032065,PiniBr00,ATL
2024,00-0032104,AbduAm00,LV
2024,00-0032107,BlacAn00,ARI
2024,00-0032128,ConlCh00,SF
2024,00-0032129,HickJo00,CLE
2024,00-0032141,SwaiGe00,CLE
2024,00-0032156,SiemTr00,TEN
2024,00-0032164,ArmsAr01,JAX
2024,00-0032195,DarbRo00,JAX
2024,00-0032197,GregRa00,TB
2024,00-0031381,AdamDa01,NYJ
2024,00-0031373,BryaMa00,WAS
2024,00-0031364,ClowJa00,CAR
2024,00-0031361,KirkCh00,CLE
2024,00-0027973,DaltAn00,CAR
2024,00-0028118,TaylTy00,NYJ
2024,00-0028171,GuyxLa00,CIN
